subj	sess	spkr	UTT	TOK	TYP	MLU
77	1	P	82	365	125	4.4512195122
77	1	C	5	8	8	1.6
77	2	P	454	1756	310	3.86784140969
77	2	C	255	498	173	1.95294117647
77	3	P	56	336	110	6.0
77	3	C	10	14	10	1.4
77	4	P	381	1581	247	4.14960629921
77	4	C	265	834	176	3.14716981132
77	5	P	116	542	126	4.6724137931
77	5	C	36	119	50	3.30555555556
77	6	P	321	1223	224	3.80996884735
77	6	C	232	664	151	2.86206896552
80	1	P	113	440	111	3.89380530973
80	1	C	52	93	46	1.78846153846
80	2	P	488	1556	292	3.18852459016
80	2	C	251	426	155	1.69721115538
80	3	P	68	287	95	4.22058823529
80	3	C	30	65	36	2.16666666667
80	4	P	396	1230	234	3.10606060606
80	4	C	191	348	137	1.8219895288
80	5	P	129	537	131	4.16279069767
80	5	C	77	160	64	2.07792207792
80	6	P	284	978	194	3.44366197183
80	6	C	203	429	134	2.11330049261
82	1	P	29	94	43	3.24137931034
82	1	C	0	0	0	-
82	2	P	537	1419	180	2.64245810056
82	2	C	0	0	0	-
82	3	P	97	287	72	2.9587628866
82	3	C	15	16	5	1.06666666667
82	4	P	431	1288	196	2.98839907193
82	4	C	45	50	17	1.11111111111
82	5	P	21	75	32	3.57142857143
82	5	C	0	0	0	-
82	6	P	384	1158	169	3.015625
82	6	C	69	100	24	1.44927536232
85	1	P	50	197	84	3.94
85	1	C	3	3	2	1.0
85	2	P	649	2427	308	3.73959938367
85	2	C	38	46	16	1.21052631579
85	3	P	70	278	104	3.97142857143
85	3	C	3	3	3	1.0
85	4	P	498	1877	275	3.76907630522
85	4	C	40	46	28	1.15
85	5	P	98	367	104	3.74489795918
85	5	C	11	14	10	1.27272727273
85	6	P	597	2292	245	3.8391959799
85	6	C	119	136	59	1.14285714286
86	1	P	88	209	66	2.375
86	1	C	0	0	0	-
86	2	P	247	361	86	1.46153846154
86	2	C	0	0	0	-
86	3	P	178	450	89	2.52808988764
86	3	C	0	0	0	-
86	4	P	194	434	101	2.23711340206
86	4	C	1	1	1	1.0
86	5	P	135	307	81	2.27407407407
86	5	C	3	3	2	1.0
86	6	P	118	225	74	1.90677966102
86	6	C	0	0	0	-
91	1	P	35	150	58	4.28571428571
91	1	C	0	0	0	-
91	2	P	218	577	113	2.64678899083
91	2	C	0	0	0	-
91	3	P	76	308	81	4.05263157895
91	3	C	0	0	0	-
91	4	P	372	1320	132	3.54838709677
91	4	C	0	0	0	-
91	5	P	85	303	79	3.56470588235
91	5	C	0	0	0	-
91	6	P	172	492	76	2.86046511628
91	6	C	0	0	0	-
95	1	P	95	383	114	4.03157894737
95	1	C	51	63	30	1.23529411765
95	2	P	287	1090	257	3.79790940767
95	2	C	233	652	167	2.7982832618
95	3	P	211	867	176	4.10900473934
95	3	C	126	332	94	2.63492063492
95	4	P	372	1480	288	3.97849462366
95	4	C	252	789	172	3.13095238095
95	5	P	145	602	168	4.15172413793
95	5	C	52	120	55	2.30769230769
95	6	P	343	1385	273	4.03790087464
95	6	C	263	746	158	2.83650190114
97	1	P	49	213	61	4.34693877551
97	1	C	0	0	0	-
97	2	P	107	181	66	1.69158878505
97	2	C	0	0	0	-
99	1	P	113	498	122	4.40707964602
99	1	C	8	16	13	2.0
